the,247
be,197
of,155
and,138
to,122
a,104
in,89
that,79
it,60
as,50
we,50
do,37
have,37
not,32
other,31
for,31
with,30
on,29
or,29
by,29
but,28
an,28
from,26
our,26
one,25
they,24
can,24
you,23
their,21
which,20
human,20
's,18
when,18
about,18
:,17
at,17
them,17
n't,17
how,17
so,16
there,16
what,16
more,16
than,16
use,16
world,15
culture,15
its,15
he,14
any,14
this,14
year,14
way,13
most,13
',13
people,12
child,12
us,12
would,11
such,11
no,11
different,11
animal,11
@card@,11
time,10
good,10
will,10
who,10
if,10
many,10
life,10
all,10
mother,9
same,9
communication,9
even,9
"""",9
say,8
brain,8
these,8
seem,8
feeling,8
may,8
like,8
think,7
something,7
your,7
know,7
another,7
study,7
within,7
school,7
nature,7
each,7
make,7
social,7
society,7
learn,7
hand,6
because,6
feel,6
between,6
sense,6
own,6
role,6
might,6
also,6
out,6
give,6
change,6
;,6
only,6
important,6
create,6
believe,6
luck,6
cell,6
after,6
scientific,6
eye,6
owl,6
baby,5
need,5
information,5
attitude,5
two,5
always,5
conflict,5
work,5
just,5
being,5
play,5
reason,5
job,5
get,5
well,5
group,5
far,5
up,5
example,5
grouping,5
language,5
mean,5
live,5
hundred,5
become,5
often,5
look,5
science,5
ever,5
thing,5
begin,5
color,5
meaning,5
both,5
insect,5
every,5
short,5
scientist,5
speech,5
focus,5
physical,5
environment,5
silence,5
right,4
great,4
voice,4
towards,4
provide,4
actually,4
could,4
kind,4
part,4
list,4
number,4
still,4
tell,4
medium,4
fact,4
exist,4
however,4
form,4
particular,4
some,4
individual,4
themselves,4
English,4
context,4
community,4
nursery,4
early,4
include,4
sign,4
idea,4
cultural,4
Press,4
value,4
ask,4
red,4
research,4
require,4
lose,4
history,4
intelligence,4
write,4
want,4
creativity,4
experiment,4
head,4
left,3
side,3
?,3
matter,3
leave,3
now,3
interpret,3
quality,3
where,3
his,3
him,3
act,3
thinking,3
read,3
extend,3
light,3
system,3
natural,3
take,3
hard,3
today,3
someone,3
issue,3
then,3
I,3
experience,3
cause,3
mass,3
define,3
present,3
member,3
case,3
direction,3
share,3
understand,3
consider,3
rather,3
before,3
psychological,3
development,3
object,3
event,3
Language,3
past,3
interact,3
especially,3
try,3
historical,3
century,3
revolution,3
reduce,3
tend,3
),3
response,3
presence,3
shell,3
lecture,3
deliver,3
question,3
see,3
perceive,3
go,3
whereas,3
possible,3
behavior,3
specie,3
into,3
last,3
though,3
few,3
old,3
appear,3
approach,3
norm,3
test,3
grow,3
Shibata,3
robot,3
design,3
*,3
appreciate,3
although,3
involve,3
occur,3
mind,3
thought,3
John,3
Oxford,3
University,3
cinema,3
obvious,3
nothing,3
weight,3
analysis,3
consume,3
authority,3
move,3
phonograph,3
why,2
hold,2
theory,2
free,2
feed,2
magazine,2
find,2
ear,2
expose,2
sound,2
home,2
somewhat,2
point,2
place,2
inside,2
safe,2
irritate,2
those,2
intense,2
resolve,2
writing,2
emotion,2
association,2
evaluate,2
articulate,2
vary,2
biological,2
degree,2
separate,2
arise,2
order,2
worker,2
recent,2
satisfaction,2
speak,2
trouble,2
face,2
habit,2
avoid,2
end,2
accumulate,2
listen,2
broadcast,2
probably,2
pervasive,2
modern,2
powerful,2
force,2
term,2
word,2
carry,2
woman,2
certain,2
range,2
knowledge,2
mode,2
subject,2
extent,2
contrary,2
transmit,2
course,2
develop,2
likely,2
movement,2
function,2
supplement,2
extension,2
primary,2
discuss,2
teacher,2
set,2
real,2
understanding,2
first,2
teach,2
intelligent,2
complex,2
American,2
new,2
trainer,2
ability,2
talk,2
exchange,2
entire,2
spiritual,2
traveler,2
immediately,2
person,2
observation,2
concept,2
underlie,2
technology,2
intellectual,2
surely,2
relate,2
democratic,2
crisis,2
emerge,2
whether,2
survive,2
(,2
/,2
beautiful,2
pearl,2
irritation,2
potential,2
open,2
less,2
let,2
fascination,2
come,2
manner,2
method,2
convey,2
lack,2
rarely,2
source,2
specific,2
significance,2
various,2
associate,2
traffic,2
perhaps,2
night,2
black,2
together,2
exhibit,2
parent,2
large,2
specialized,2
result,2
reader,2
responsibility,2
toward,2
dictionary,2
aspect,2
completely,2
win,2
month,2
component,2
renew,2
day,2
Brain,2
long,2
estimate,2
hour,2
moment,2
indeed,2
ago,2
level,2
Bill,2
Bryson,2
planet,2
ca,2
help,2
problem,2
skill,2
turn,2
very,2
effective,2
tone,2
emphasize,2
over,2
imitate,2
invent,2
around,2
effect,2
stress,2
therapeutic,2
model,2
inspiration,2
anger,2
neither,2
simply,2
situation,2
message,2
climate,2
consensus,2
view,2
agree,2
IPCC,2
report,2
advice,2
hope,2
inhabitant,2
tool,2
resource,2
creature,2
&,2
bear,2
fit,2
grasp,2
describe,2
absence,2
participant,2
remove,2
Culture,2
biology,2
must,2
else,2
genius,2
element,2
whatever,2
Very,2
introduction,2
abstract,2
drop,2
division,2
seek,2
produce,2
half,2
broad,2
laughter,2
painting,2
sometimes,2
diminish,2
root,2
W,2
back,2
capable,2
dig,2
intuition,2
assertion,2
accept,2
activity,2
age,2
young,2
show,2
exercise,2
calorie,2
instinctively,1
convenience-mothers,1
sensitivity,1
breast,1
medical,1
doctor,1
answer,1
cradle,1
melody,1
emotional,1
heart,1
sad,1
Bland,1
flat,1
shifting,1
meet,1
away,1
longingly,1
refuge,1
warm,1
quiet,1
wish,1
precisely,1
account,1
nostalgia,1
quietness,1
cherish,1
torment,1
reading,1
passive,1
invite,1
participate,1
engage,1
imagination,1
intellect,1
trigger,1
memory,1
stimulate,1
absorb,1
writer,1
literature,1
recreate,1
evolve,1
differently,1
under,1
circumstance,1
relationship,1
nature-about,1
nature-prevail,1
assumption,1
concern,1
prudent,1
employer,1
analyze,1
incentive,1
working-and,1
importantly,1
disclose,1
money,1
seven,1
Topping,1
perform,1
obviously,1
accomplish,1
reward,1
labor,1
major,1
deficiency,1
management,1
failure,1
can-must-be,1
controversy,1
strong,1
unexpressed,1
die,1
build,1
resentment,1
otherwise,1
unimportant,1
